month,ticker
2020-01,WHR
2020-01,WM
2020-01,WMB
2020-01,WMT
2020-01,WRK
2020-01,WU
2020-01,WY
2020-01,WYNN
2020-01,XEC
2020-01,XEL
2020-01,XLNX
2020-01,XOM
2020-01,XRAY
2020-01,XRX
2020-01,XYL
2020-01,YUM
2020-01,ZBH
2020-01,ZBRA
2020-01,ZTS
2020-02,A
2020-02,AAL
2020-02,AAPL
2020-02,ABBV
2020-02,ABMD
2020-02,ABT
2020-02,ACN
2020-02,ADBE
2020-02,ADI
2020-02,ADM
2020-02,ADP
2020-02,ADSK
2020-02,AEE
2020-02,AEP
2020-02,AIV
2020-02,AJG
2020-02,AKAM
2020-02,ALB
2020-02,ALGN
2020-02,ALXN
2020-02,AMAT
2020-02,AMCR
2020-02,AMD
2020-02,AME
2020-02,AMGN
2020-02,AMP
2020-02,AMZN
2020-02,ANET
2020-02,ANSS
2020-02,AON
2020-02,AOS
2020-02,APA
2020-02,APH
2020-02,APTV
2020-02,ARE
2020-02,ARNC
2020-02,ATO
2020-02,ATVI
2020-02,AVB
2020-02,AVGO
2020-02,AVY
2020-02,AWK
2020-02,AZO
2020-02,BA
2020-02,BAX
2020-02,BBY
2020-02,BDX
2020-02,BEN
2020-02,BKNG
2020-02,BKR
2020-02,BLK
2020-02,BMY
2020-02,BR
2020-02,BRK.B
2020-02,BSX
2020-02,BWA
2020-02,BXP
2020-02,CAG
2020-02,CAH
2020-02,CAT
2020-02,CBOE
2020-02,CBRE
2020-02,CCL
2020-02,CDNS
2020-02,CDW
2020-02,CE
2020-02,CERN
2020-02,CF
2020-02,CHD
2020-02,CHRW
2020-02,CHTR
2020-02,CL
2020-02,CMCSA
2020-02,CME
2020-02,CMG
2020-02,CMI
2020-02,CNC
2020-02,COO
2020-02,COP
2020-02,COST
2020-02,COTY
2020-02,CPRT
2020-02,CRM
2020-02,CSCO
2020-02,CSX
2020-02,CTAS
2020-02,CTSH
2020-02,CTVA
2020-02,CTXS
2020-02,CVS
2020-02,CVX
2020-02,CXO
2020-02,D
2020-02,DAL
2020-02,DD
2020-02,DE
2020-02,DG
2020-02,DGX
2020-02,DHI
2020-02,DHR
2020-02,DIS
2020-02,DISH
2020-02,DLR
2020-02,DLTR
2020-02,DOV
2020-02,DOW
2020-02,DRE
2020-02,DTE
2020-02,DUK
2020-02,DVA
2020-02,DVN
2020-02,DXC
2020-02,EBAY
